cluster_97	2020-03-04t14-27-25z_m40_kernel_104_number_of_sequence_5233	kernel_104_number_of_sequence_5233
cluster_98	2020-03-04t14-27-25z_m63_kernel_173_number_of_sequence_13852	kernel_173_number_of_sequence_13852
cluster_99	2020-03-04t14-27-25z_m38_kernel_99_number_of_sequence_5594	kernel_99_number_of_sequence_5594
cluster_100	2020-03-04t14-27-25z_m185_kernel_490_number_of_sequence_4606	kernel_490_number_of_sequence_4606
cluster_101	2020-03-04t14-27-25z_m132_kernel_337_number_of_sequence_4620	kernel_337_number_of_sequence_4620
cluster_102	2020-03-04t14-27-25z_m93_kernel_249_number_of_sequence_8045	kernel_249_number_of_sequence_8045
cluster_103	2020-03-04t14-27-25z_m258_kernel_699_number_of_sequence_5543	kernel_699_number_of_sequence_5543
cluster_104	2020-03-04t14-27-25z_m198_kernel_528_number_of_sequence_1194	kernel_528_number_of_sequence_1194
cluster_105	2020-03-04t14-27-25z_m139_kernel_352_number_of_sequence_2332	kernel_352_number_of_sequence_2332
cluster_106	2020-03-04t14-27-25z_m157_kernel_411_number_of_sequence_5341	kernel_411_number_of_sequence_5341
cluster_107	2020-03-04t14-27-25z_m199_kernel_533_number_of_sequence_449	kernel_533_number_of_sequence_449
cluster_108	2020-03-04t14-27-25z_m45_kernel_120_number_of_sequence_116	kernel_120_number_of_sequence_116
cluster_109	2020-03-04t14-27-25z_m302_kernel_822_number_of_sequence_14974	kernel_822_number_of_sequence_14974
cluster_110	2020-03-04t14-27-25z_m42_kernel_108_number_of_sequence_4281	kernel_108_number_of_sequence_4281
cluster_111	2020-03-04t14-27-25z_m130_kernel_335_number_of_sequence_1948	kernel_335_number_of_sequence_1948
cluster_112	2020-03-04t14-27-25z_m15_kernel_50_number_of_sequence_3413	kernel_50_number_of_sequence_3413
cluster_113	2020-03-04t14-27-25z_m227_kernel_622_number_of_sequence_2338	kernel_622_number_of_sequence_2338
cluster_114	2020-03-04t14-27-25z_m248_kernel_674_number_of_sequence_4278	kernel_674_number_of_sequence_4278
cluster_115	2020-03-04t14-27-25z_m107_kernel_278_number_of_sequence_2148	kernel_278_number_of_sequence_2148
cluster_116	2020-03-04t14-27-25z_m94_kernel_250_number_of_sequence_2570	kernel_250_number_of_sequence_2570
cluster_117	2020-03-04t14-27-25z_m89_kernel_242_number_of_sequence_593	kernel_242_number_of_sequence_593
cluster_118	2020-03-04t14-27-25z_m125_kernel_327_number_of_sequence_10216	kernel_327_number_of_sequence_10216
cluster_119	2020-03-04t14-27-25z_m208_kernel_551_number_of_sequence_3861	kernel_551_number_of_sequence_3861
cluster_120	2020-03-04t14-27-25z_m300_kernel_808_number_of_sequence_1470	kernel_808_number_of_sequence_1470
cluster_121	2020-03-04t14-27-25z_m138_kernel_350_number_of_sequence_1426	kernel_350_number_of_sequence_1426
cluster_122	2020-03-04t14-27-25z_m325_kernel_195_number_of_sequence_221	kernel_195_number_of_sequence_221
cluster_123	2020-03-04t14-27-25z_m311_kernel_842_number_of_sequence_4117	kernel_842_number_of_sequence_4117
cluster_124	2020-03-04t14-27-25z_m65_kernel_175_number_of_sequence_2711	kernel_175_number_of_sequence_2711
cluster_125	2020-03-04t14-27-25z_m147_kernel_380_number_of_sequence_10271	kernel_380_number_of_sequence_10271
cluster_126	2020-03-04t14-27-25z_m167_kernel_445_number_of_sequence_2158	kernel_445_number_of_sequence_2158
cluster_127	2020-03-04t14-27-25z_m25_kernel_69_number_of_sequence_560	kernel_69_number_of_sequence_560
cluster_128	2020-03-04t14-27-25z_m146_kernel_376_number_of_sequence_2909	kernel_376_number_of_sequence_2909
cluster_129	2020-03-04t14-27-25z_m120_kernel_313_number_of_sequence_1947	kernel_313_number_of_sequence_1947
cluster_130	2020-03-04t14-27-25z_m99_kernel_263_number_of_sequence_2858	kernel_263_number_of_sequence_2858
cluster_131	2020-03-04t14-27-25z_m113_kernel_299_number_of_sequence_3070	kernel_299_number_of_sequence_3070
cluster_132	2020-03-04t14-27-25z_m312_kernel_844_number_of_sequence_9898	kernel_844_number_of_sequence_9898
cluster_133	2020-03-04t14-27-25z_m237_kernel_643_number_of_sequence_8261	kernel_643_number_of_sequence_8261
cluster_134	2020-03-04t14-27-25z_m174_kernel_465_number_of_sequence_8025	kernel_465_number_of_sequence_8025
cluster_135	2020-03-04t14-27-25z_m230_kernel_627_number_of_sequence_2998	kernel_627_number_of_sequence_2998
cluster_136	2020-03-04t14-27-25z_m215_kernel_582_number_of_sequence_247	kernel_582_number_of_sequence_247
