#cluster	node_ID	child_1	child_2	IC	IC_child_1	IC_child_2	Sites	Sites_child_1	Sites_child_2
cluster_43	1	2020-03-04t14-27-25z_m221_kernel_601_number_of_sequence_5549	2020-03-04t14-27-25z_m87_kernel_240_number_of_sequence_2398	3.34	4.17	3.52	7947	5549	2398
cluster_5	19	2020-03-04t14-27-25z_m273_kernel_741_number_of_sequence_13343	18	5.90	4.52	6.01	192555	13343	179212
cluster_5	18	2020-03-04t14-27-25z_m272_kernel_736_number_of_sequence_10683	17	6.01	5.74	6.07	179212	10683	168529
cluster_5	17	2020-03-04t14-27-25z_m142_kernel_358_number_of_sequence_8490	16	6.07	5.95	6.05	168529	8490	160039
cluster_5	16	13	15	6.05	6.28	3.91	160039	95497	64542
cluster_5	13	2020-03-04t14-27-25z_m44_kernel_115_number_of_sequence_8285	9	6.28	7.08	6.36	95497	8285	87212
cluster_5	9	5	8	6.36	5.71	6.42	87212	22915	64297
cluster_5	5	2020-03-04t14-27-25z_m285_kernel_769_number_of_sequence_11655	2020-03-04t14-27-25z_m37_kernel_95_number_of_sequence_11260	5.71	5.99	6.39	22915	11655	11260
cluster_5	8	3	7	6.42	6.74	6.01	64297	35670	28627
cluster_5	3	1	2	6.74	7.29	7.10	35670	17804	17866
cluster_5	2	2020-03-04t14-27-25z_m249_kernel_675_number_of_sequence_8898	2020-03-04t14-27-25z_m250_kernel_676_number_of_sequence_8968	7.10	7.43	7.55	17866	8898	8968
cluster_5	1	2020-03-04t14-27-25z_m149_kernel_389_number_of_sequence_10748	2020-03-04t14-27-25z_m169_kernel_450_number_of_sequence_7056	7.29	7.38	8.00	17804	10748	7056
cluster_5	7	2020-03-04t14-27-25z_m240_kernel_649_number_of_sequence_8108	6	6.01	6.43	6.39	28627	8108	20519
cluster_5	6	2020-03-04t14-27-25z_m155_kernel_406_number_of_sequence_12618	2020-03-04t14-27-25z_m296_kernel_799_number_of_sequence_7901	6.39	6.87	7.05	20519	12618	7901
cluster_5	15	12	14	3.91	3.96	4.68	64542	40983	23559
cluster_5	12	2020-03-04t14-27-25z_m111_kernel_286_number_of_sequence_9209	11	3.96	3.75	4.38	40983	9209	31774
cluster_5	11	2020-03-04t14-27-25z_m54_kernel_151_number_of_sequence_13482	10	4.38	4.40	5.20	31774	13482	18292
cluster_5	10	2020-03-04t14-27-25z_m201_kernel_538_number_of_sequence_9956	2020-03-04t14-27-25z_m320_kernel_867_number_of_sequence_8336	5.20	6.50	4.91	18292	9956	8336
cluster_5	14	2020-03-04t14-27-25z_m134_kernel_339_number_of_sequence_9493	4	4.68	5.50	5.01	23559	9493	14066
cluster_5	4	2020-03-04t14-27-25z_m239_kernel_646_number_of_sequence_9243	2020-03-04t14-27-25z_m81_kernel_214_number_of_sequence_4823	5.01	5.06	5.94	14066	9243	4823
cluster_51	1	2020-03-04t14-27-25z_m326_kernel_742_number_of_sequence_319	2020-03-04t14-27-25z_m84_kernel_228_number_of_sequence_820	3.64	4.76	4.07	1139	319	820
cluster_56	1	2020-03-04t14-27-25z_m103_kernel_267_number_of_sequence_3168	2020-03-04t14-27-25z_m97_kernel_259_number_of_sequence_1647	2.75	3.07	4.02	4815	3168	1647
cluster_57	1	2020-03-04t14-27-25z_m144_kernel_368_number_of_sequence_6601	2020-03-04t14-27-25z_m282_kernel_759_number_of_sequence_4640	2.84	2.61	2.76	11241	6601	4640
cluster_59	1	2020-03-04t14-27-25z_m108_kernel_279_number_of_sequence_1145	2020-03-04t14-27-25z_m152_kernel_401_number_of_sequence_1050	3.25	3.91	4.06	2195	1145	1050
cluster_6	2	2020-03-04t14-27-25z_m222_kernel_604_number_of_sequence_3306	1	3.20	3.38	2.73	7536	3306	4230
cluster_6	1	2020-03-04t14-27-25z_m20_kernel_58_number_of_sequence_3048	2020-03-04t14-27-25z_m232_kernel_630_number_of_sequence_1182	2.73	2.69	3.74	4230	3048	1182
cluster_62	1	2020-03-04t14-27-25z_m165_kernel_440_number_of_sequence_1543	2020-03-04t14-27-25z_m80_kernel_211_number_of_sequence_4230	4.15	4.43	4.98	5773	1543	4230
cluster_63	1	2020-03-04t14-27-25z_m122_kernel_318_number_of_sequence_5506	2020-03-04t14-27-25z_m202_kernel_540_number_of_sequence_7296	3.35	3.61	4.42	12802	5506	7296
cluster_64	1	2020-03-04t14-27-25z_m177_kernel_468_number_of_sequence_9637	2020-03-04t14-27-25z_m189_kernel_500_number_of_sequence_10227	3.56	4.08	4.88	19864	9637	10227
cluster_7	4	2020-03-04t14-27-25z_m95_kernel_252_number_of_sequence_12175	3	5.30	4.75	6.08	44468	12175	32293
cluster_7	3	2020-03-04t14-27-25z_m61_kernel_170_number_of_sequence_7481	2	6.08	6.51	6.52	32293	7481	24812
cluster_7	2	2020-03-04t14-27-25z_m41_kernel_107_number_of_sequence_9254	1	6.52	7.78	5.95	24812	9254	15558
cluster_7	1	2020-03-04t14-27-25z_m24_kernel_67_number_of_sequence_7001	2020-03-04t14-27-25z_m275_kernel_747_number_of_sequence_8557	5.95	6.65	6.68	15558	7001	8557
cluster_74	1	2020-03-04t14-27-25z_m121_kernel_316_number_of_sequence_4744	2020-03-04t14-27-25z_m85_kernel_236_number_of_sequence_12391	5.44	7.41	6.01	17135	4744	12391
cluster_8	3	2020-03-04t14-27-25z_m314_kernel_849_number_of_sequence_8376	2	3.23	3.46	3.10	16989	8376	8613
cluster_8	2	2020-03-04t14-27-25z_m23_kernel_66_number_of_sequence_1076	1	3.10	2.98	3.41	8613	1076	7537
cluster_8	1	2020-03-04t14-27-25z_m205_kernel_546_number_of_sequence_2938	2020-03-04t14-27-25z_m88_kernel_241_number_of_sequence_4599	3.41	3.82	3.87	7537	2938	4599
cluster_87	1	2020-03-04t14-27-25z_m289_kernel_782_number_of_sequence_14563	2020-03-04t14-27-25z_m32_kernel_87_number_of_sequence_4714	4.73	4.69	5.74	19277	14563	4714
cluster_9	1	2020-03-04t14-27-25z_m188_kernel_498_number_of_sequence_1395	2020-03-04t14-27-25z_m298_kernel_805_number_of_sequence_1073	2.67	3.08	2.80	2468	1395	1073
cluster_91	1	2020-03-04t14-27-25z_m105_kernel_274_number_of_sequence_1126	2020-03-04t14-27-25z_m203_kernel_541_number_of_sequence_1977	2.98	3.09	3.16	3103	1126	1977
